txDigest;day;month;year;sender;nftId;nameRecordIds;labels;totalSui
EC6ZtLS53f6quD9SzE22HYtYfV5GRLWVEqap9DAnTk3j;15;2;2024;0xfa4b6e0b11ff80d77200520199bd977fbb336b4a76f2f8bd5371da590e63b724;0x60927ff94cb199ab9b61b94df517aad61e8acd977fad129cc7593160aa537d7c;0x0c360c102ad9c5e47f288ec752161ef001ab84aba3ac0a303146b49a43fb4c8b;georgems.sui;20
14hWWcfzWTZVw42CWNDqvfci92eEyypP1yP2RAjvD9pi;15;2;2024;0x6d7688e8656b8d0af312168f6756bca564bc3a96deedaef02157771930df3075;0xcbea9de8d48f483791979fc6f066c0cc90c48c4499df046dfd48f3ff1bae0745;0xa4e8a690aee5fba847f12d3f8ad26b4d6a4566139a2a5a4ae8789eba59602577;berkut.sui;20
HwkgYN8US8FDWd9M3X3R9tuv4PfpXCiAVBtrGrmfb2o6;15;2;2024;0x37be66c40a575685950946a5bf9ab0becf3b99ac2a4e72d0e787692e3124517f;0x919336991818c5b0d87fe0552c9d67eff3f3c31feb7f52ba1f0dbd48b46049a9;0xcec1a033984a11bc28df0ac5f1123a82fcfcb5133b25ee5bf9968315bc1d2790;91688.sui;20
3XV59YwRFfKKSFJ3czq9UYHSfm4yq2qPT3oaJEoPoARw;15;2;2024;0x514e4dd15ec9ff19231d16ef6b5676c8c6b188389c32b5b8d474cbe7f5049702;0xc98f9a0baba04c55e4b15ad164e664598ad790b70284bd5b0925e3343958175b;0x60945de34d64483de12b3ddeef3abd4774fb7b35460c066b97d5be8dc39c0bd1;madhubaabu.sui;20
HPHaSi5ZVyGg6Kj7GYytWwE52dGnbm8jikRTGkzGtLYq;15;2;2024;0xcfd7fa371e7ddf39be4d9b55ff85b9501bbd56512f30693b462c8e43c5885546;0xeb20aa4d2c2a9bd3d88a5793dde82cec7356edff5a08172b94bb988d7915dde9;0xd1bcb186790a68f7ff290a7cffe87748b2bf1911a6a0751b6d65d2ddf773f3ea;3333333.sui;20
5kicPzVzPwtidKi5xxfwJbkG5rHxpvBTsfLC3QtpYC8F;15;2;2024;0xcfd7fa371e7ddf39be4d9b55ff85b9501bbd56512f30693b462c8e43c5885546;0x0ba9e0aa71620df5ef4f2c1061dbec2d4ea1e6311ac194874772fb4992605fce;0x710d71da6da8fbcac4a84576fed6dba9ccc08a6cc4d104efe75c0b5d3a641252;2222222.sui;20
BXtDJN14voG7EHmUFmiwX9eQTnFfdakwBGxnE4yx9pQE;15;2;2024;0xeddd673112893c00b3c600ad7203f4f1d6587ecf2a6d4fda42297fb1dfa8e475;0x358012838d4d827f89eb33b709ae6e2929d0a964901f11b0b77e997bdcf9f6c1;0x4a86b412b68f32e1a89ae7221417f543d2d4bb2ccc44d4122721b49bfbba056b;0857.sui;100
DdRePUzBZetQbNWoqahfxgReWhDwTb1944nax16ieSDV;15;2;2024;0xd6d5b70ecf08b6d09cf3738505b46f1d3884aaf7af45190f99a57c6c97fb8e6a;0x0e0ece253cd1ef004d8c429e2ceb4c6837d9b95545263bd75b0998ee9b859994;0x16198090bc749162825772bfb897d7b456dac2681031515874ea675ad0286df0;xparis.sui;20
EPArP4GMLe1YiZdWF2cjm7QzBQ3m8e4sF1ApjthYF4Bc;15;2;2024;0x97618b90681da6373770f2f7dcedd40cb3c3d97ef8b12318bd1c88a620a10c4f;0xd86e8b98908bb4c5767abf2cdc1ca79f3643774290eccf4a97d78c8faa48ab8a;0x3f34eb5590c167c15cb345398b1bb40e4c9bf01e09786bb62119e23197342562;tastekin.sui;20
7Zzay5gmpSZCVHSBufJY88xt7J1PTsx7cB9cALPQcCFh;15;2;2024;0xe54803d52698871b63ab2462751d0a716c8beffb1b71e1818fda342d7ecc1681;0x45729619caaf2ce502dfc8fb46da737291409b1502c0d73dcbca14fec240f13a;0x38f60e737708e59595aa7415c1a33e50b145f3fcacaca0642da6f234c4e222e5;82979.sui;20
